需求(五级项目),归属小微,一级项目,二级项目,三级项目,四级项目,年度,项目计划开始时间,项目期望交付时间,优先级,作战计划,项目负责人(团队长/链群主）,产品设计人员,计划开发人员,实际开发人员,状态,整体进度,说明,交付模式,AI交付类型,工具使用,项目标签,评估人天(条目法),计划人天(AI交付),计划提效,提效方式,资产化交付工具,缺口人天,缺口预算（元）,预算论证日期,实际人天,交付效率(倍),交付代码行,开发计划(链接),应用S码,涉及应用,供应商,项目类型,资源方案,项目分类,效率基线,效率目标,计划供应商人数,实际供应商人数,业务人员人数,项目资源配比(业务:产品:技术),供应商参与人数,资产析出,析出数量,资产析出一致性,资产析出准确率,资产入库,入库数量,入库准确率,增量生成,增量资产数量,增量资产占比,资产转译,转译准确率,数据回放,数据回放准确率,项目进展,项目风险,参与度(总和为1),入库时间,交付范围,数据来源,手工维护,开发状态(公式),是否逾期,需求大类,需求小类,开发跟进表计划人天,交付评价,更新时间,条目法人天（来自任务）,计划预算(元),创建人,创建人.部门,产品确认结果,父记录 2,创建时间,开发资源是否能按时到位,父记录 3,资产析出一致性 (1),资产析出准确率 (1),资产入库 (1),入库数量 (1),入库准确率 (1),增量生成 (1),增量资产数量 (1),增量资产占比 (1),资产转译 (1),转译准确率 (1),数据回放 (1),数据回放准确率 (1),项目进展 (1),项目风险 (1),参与度(总和为1) (1),入库时间 (1),交付范围 (1),数据来源 (1),手工维护 (1),开发状态(公式) (1),是否逾期 (1),需求大类 (1),需求小类 (1),开发根据表计划人天 (1),交付评价 (1),更新时间 (1),条目法人天（来自任务） (1),计划预算(元) (1),创建人 (1),创建人.部门 (1),产品确认结果 (1),创建时间 (1),开发资源是否能按时到位 (1)
智家自营抛账更改（参考代码3更改）,财资数字化,数字化赋能领域,财资数字化,结算中台,结算中台迭代优化,2026,2026/01/26,2026/02/14,P1,228,王宗武,陈冬梅,逯瑾,逯瑾,开发,100%,,,,,,,,,,,,,,4.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,开发中,true,,,12.0,,2026/01/26 13:53,12.0,,陈冬梅,资金税务数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,开发中,true,,,12.0,,2026/01/26 13:53,12.0,,陈冬梅,,,2026/01/26,
支付宝企业码小微支付宝余额查询,财资数字化,数字化赋能领域,财资数字化,结算中台,结算中台迭代优化,2026,2026/01/19,2026/01/31,P1,130,王宗武,陈冬梅,逯瑾,逯瑾,开发,100%,,,,,,,,,,,,,,3.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,开发中,true,,,11.0,,2026/01/26 13:51,11.0,,陈冬梅,资金税务数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,开发中,true,,,11.0,,2026/01/26 13:51,11.0,,陈冬梅,,,2026/01/26,
流程引擎撤回流程时待办状态改为撤销,财资数字化,,,流程引擎,流程引擎,2026,2026/01/21,2026/01/23,P1,130,谭嘉男,谭嘉男,谭嘉男,谭嘉男,,100%,,,,,,,,,,,,,,1.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,2.0,,2026/01/29 09:12,2.0,,谭嘉男,开发团队C,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,2.0,,2026/01/29 09:12,2.0,,谭嘉男,,,2026/01/26,
流程引擎流程启动时校验每个部门都要有审核人,财资数字化,,,流程引擎,流程引擎,2026,2026/01/27,2026/02/06,P1,228,谭嘉男,谭嘉男,谭嘉男,谭嘉男,,81%,,,,,,,,,,,,,,3.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,5.0,,2026/01/30 11:23,5.0,,谭嘉男,开发团队C,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,5.0,,2026/01/30 11:23,5.0,,谭嘉男,,,2026/01/26,
流程引擎新增用户组同组或审批逻辑,财资数字化,,,流程引擎,流程引擎,2026,2026/01/22,2026/03/06,P1,228,谭嘉男,谭嘉男,谭嘉男,谭嘉男,开发,84%,,,,,,,,,,,,,,7.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,开发中,false,,,10.0,,2026/02/09 09:22,10.0,,谭嘉男,开发团队C,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,开发中,false,,,10.0,,2026/02/09 09:22,10.0,,谭嘉男,,,2026/01/26,
智能印控系统驳回及拒绝交付到草稿的操作,交付与质量中心,,,,,2026,,,,,,,,李恂,,100%,,,,,,,,,,,,,,6.0,0%,,,,,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2026/01/22,非交付与质量中心,,,,false,,,17.0,,2026/01/22 14:34,17.0,,李全,风险合规数字化,,,2026/01/22,,,,,,,,,,,,,,,,,,2026/01/22,非交付与质量中心,,,,false,,,17.0,,2026/01/22 14:34,17.0,,李全,,,2026/01/22,
流程引擎防止重复启动流程,财资数字化,,,流程引擎,流程引擎,2026,2026/01/05,2026/01/07,P0,130,谭嘉男,谭嘉男,谭嘉男,谭嘉男,验证,77%,,,,,,,,,,,,,,1.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/07,非交付与质量中心,,,开发完成,false,,,2.0,,2026/01/29 09:12,2.0,,谭嘉男,开发团队C,,,2026/01/07,,,,,,,,,,,,,,,,暂无,,2026/01/07,非交付与质量中心,,,开发完成,false,,,2.0,,2026/01/29 09:12,2.0,,谭嘉男,,,2026/01/07,
流程引擎多实例用户组任务不执行问题修复,财资数字化,,,流程引擎,流程引擎,2026,2026/01/05,2026/01/07,P0,130,谭嘉男,谭嘉男,谭嘉男,谭嘉男,发布,87%,,,,,,,,,,,,,,1.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/07,非交付与质量中心,,,开发完成,false,,,2.0,,2026/01/29 09:12,2.0,,谭嘉男,开发团队C,,,2026/01/07,,,,,,,,,,,,,,,,暂无,,2026/01/07,非交付与质量中心,,,开发完成,false,,,2.0,,2026/01/29 09:12,2.0,,谭嘉男,,,2026/01/07,
智能客户管理（应收信用）权限申请审批流需求,财资数字化,,,客户管理项目,客户管理项目-应收信用,2026,2026/01/06,2026/01/30,P0,130,刘晓红,马素英,"崔斌,谭嘉男",谭嘉男,,100%,,,,,,,,,,,,,,2.0,0%,,,,,,,,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2026/01/06,非交付与质量中心,,,,false,,,3.0,,2026/01/07 08:55,3.0,,马素英,质量运营数字化子链群,,,2026/01/06,,,,,,,,,,,,,,,,暂无,,2026/01/06,非交付与质量中心,,,,false,,,3.0,,2026/01/07 08:55,3.0,,马素英,,,2026/01/06,
风控高风险模型指标结果落库需求开发以及提供通用查询接口,财资数字化,,,财务风控合规,财务风控合规,2026,2026/01/06,2026/01/23,P0,130,刘晓红,马素英,朱传浩,朱传浩,,100%,,,,,,,,,,,,,,2.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/06,非交付与质量中心,,,,false,,,6.0,,2026/01/06 09:31,6.0,,马素英,质量运营数字化子链群,,,2026/01/06,,,,,,,,,,,,,,,,暂无,,2026/01/06,非交付与质量中心,,,,false,,,6.0,,2026/01/06 09:31,6.0,,马素英,,,2026/01/06,
内部物流，招聘费，卡奥斯集场景-商互通迭代）,财资数字化,,,建共享一体化平台，推进BCC1230&EVS730下线,商互通&稽核中心&钱包中台等,2025,2025/12/01,2025/12/30,,1230,陆立垚,常耀刚,黄伟雄,黄伟雄,,100%,,,,,,,,,,,,,,4.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/12/25,非交付与质量中心,,,,false,,,12.0,,2026/01/04 08:57,12.0,,常耀刚,质量运营数字化子链群,,,2025/12/25,,,,,,,,,,,,,,,,,,2025/12/25,非交付与质量中心,,,,false,,,12.0,,2026/01/04 08:57,12.0,,常耀刚,,,2025/12/25,
需求分析智能体v1.1版本,交付与质量中心,,,数字化资产增量,需求分析智能体,2025,2025/11/17,2025/11/30,,1130,朱广聪,朱广聪,朱广聪,朱广聪,验证,100%,,,,,,,,,,,,,,15.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/11/26,非交付与质量中心,,,开发完成,false,,,19.5,,2026/01/04 08:57,19.5,,朱广聪,开发团队B,,,2025/11/26,,,,,,,,,,,,,,,,,,2025/11/26,非交付与质量中心,,,开发完成,false,,,19.5,,2026/01/04 08:57,19.5,,朱广聪,,,2025/11/26,
需求分析智能体v1.0版本,交付与质量中心,,,数字化资产增量,需求分析智能体,2025,2025/11/01,2025/11/15,,1130,朱广聪,朱广聪,朱广聪,朱广聪,发布,100%,,,,,,,,,,,,,,15.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/11/26,非交付与质量中心,,,开发完成,false,,,69.0,,2026/01/04 08:57,69.0,,朱广聪,开发团队B,,,2025/11/26,,,,,,,,,,,,,,,,,,2025/11/26,非交付与质量中心,,,开发完成,false,,,69.0,,2026/01/04 08:57,69.0,,朱广聪,,,2025/11/26,
基于 CC 的通用智能体 v1.0,交付与质量中心,,,数字化资产底层引擎,基于 CC 的通用智能体（百解引擎）,2025,2025/11/24,2025/11/28,,1130,姜文泽,姜文泽,姜文泽,"姜文泽
周小帅",发布,87%,,,,,,,,,,,,,,14.0,0%,,S04640,S04640,智海,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,37.0,,2026/01/04 08:57,37.0,,姜文泽,交付与质量中心,,,2025/12/26,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,37.0,,2026/01/04 08:57,37.0,,姜文泽,,,2025/12/26,
基于 CC 的通用智能体 v1.1 基于新架构重构,交付与质量中心,,,数字化资产底层引擎,基于 CC 的通用智能体（百解引擎）,2025,2025/12/01,2025/12/05,,1230,姜文泽,姜文泽,姜文泽,姜文泽,发布,100%,,,,,,,,,,,,,,4.5,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,8.0,,2026/01/04 08:57,8.0,,姜文泽,交付与质量中心,,,2025/12/26,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,8.0,,2026/01/04 08:57,8.0,,姜文泽,,,2025/12/26,
基于 CC 的通用智能体 v1.3 增加 SKILL MCP 的支持,交付与质量中心,,,数字化资产底层引擎,基于 CC 的通用智能体（百解引擎）,2025,2025/12/08,2025/12/12,,1230,姜文泽,姜文泽,姜文泽,姜文泽,发布,100%,,,,,,,,,,,,,,3.9,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,8.0,,2026/01/04 08:57,8.0,,姜文泽,交付与质量中心,,,2025/12/26,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,8.0,,2026/01/04 08:57,8.0,,姜文泽,,,2025/12/26,
基于 CC 的通用智能体 v1.4 集成数泽系统，接入数据,交付与质量中心,,,数字化资产底层引擎,基于 CC 的通用智能体（百解引擎）,2025,2025/12/15,2025/12/19,,1230,姜文泽,姜文泽,姜文泽,姜文泽,发布,100%,,,,,,,,,,,,,,3.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,6.5,,2026/01/04 08:57,6.5,,姜文泽,交付与质量中心,,,2025/12/26,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,6.5,,2026/01/04 08:57,6.5,,姜文泽,,,2025/12/26,
基于 CC 的通用智能体 v1.5 增加Chat 页,交付与质量中心,,,数字化资产底层引擎,基于 CC 的通用智能体（百解引擎）,2025,2025/12/22,2025/12/26,,1230,姜文泽,姜文泽,姜文泽,姜文泽,验证,100%,,,,,,,,,,,,,,2.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,6.0,,2026/01/04 08:57,6.0,,姜文泽,交付与质量中心,,,2025/12/26,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,6.0,,2026/01/04 08:57,6.0,,姜文泽,,,2025/12/26,
基于 CC 的通用智能体 v1.6  数据持久化存储,交付与质量中心,,,数字化资产底层引擎,基于 CC 的通用智能体（百解引擎）,2025,2025/12/22,2025/12/26,,1230,姜文泽,姜文泽,姜文泽,姜文泽,验证,100%,,,,,,,,,,,,,,0.5,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,1.0,,2026/01/04 08:57,1.0,,姜文泽,交付与质量中心,,,2025/12/26,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发完成,false,,,1.0,,2026/01/04 08:57,1.0,,姜文泽,,,2025/12/26,
基于 CC 的通用智能体 v1.7 架构重构+并发支持,交付与质量中心,,,数字化资产底层引擎,基于 CC 的通用智能体（百解引擎）,2025,2025/12/29,2026/01/05,,1230,姜文泽,姜文泽,姜文泽,"姜文泽
周小帅",开发设计,100%,,,,,,,,,,,,,,9.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发中,true,,,22.0,,2026/01/04 08:57,22.0,,姜文泽,交付与质量中心,,,2025/12/26,,,,,,,,,,,,,,,,暂无,,2025/12/26,非交付与质量中心,,,开发中,true,,,22.0,,2026/01/04 08:57,22.0,,姜文泽,,,2025/12/26,
卡奥斯集采商城场景测试和招聘费场景对接测试,财资数字化,,,智家数字化共享,智家共享场景推广,2025,2025/11/01,2025/11/30,P0,1130,陆立垚,常耀刚,黄伟雄,黄伟雄,验证,100%,,,,,,,,,,,,,,1.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/11/25,非交付与质量中心,,,开发完成,false,,,3.0,,2026/01/04 08:57,3.0,,常耀刚,质量运营数字化子链群,,,2025/11/25,,,,,,,,,,,,,,,,,,2025/11/25,非交付与质量中心,,,开发完成,false,,,3.0,,2026/01/04 08:57,3.0,,常耀刚,,,2025/11/25,
莱士禁止合同用工(内退)入职,人力数字化,薪委会数字化,组织系统迭代,上海莱士赋能,@梁祯,2025,,,,,,,,,,,,,,,人力,,,,,,,,,0.0,,,S02262,,,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2025/07/10,非交付与质量中心,,,,false,,,0.0,,2026/01/04 08:57,0.0,,梁祯,共享关爱,,,2025/07/10,,,,,,,,,,,,,,,,,,2025/07/10,非交付与质量中心,,,,false,,,0.0,,2026/01/04 08:57,0.0,,梁祯,,,2025/07/10,
不在岗产假办理优化：如果当前员工是复竞岗，且一个月之前是产假，则不执行产假事件,人力数字化,薪委会数字化,组织系统迭代,组织系统迭代,不在岗迭代,2025,,,,,,,,,,,,,,,人力,,,,,,,,,0.0,,,S02262,,,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2025/07/10,非交付与质量中心,,,,false,,,0.0,,2026/01/04 08:57,0.0,,梁祯,共享关爱,,,2025/07/10,,,,,,,,,,,,,,,,,,2025/07/10,非交付与质量中心,,,,false,,,0.0,,2026/01/04 08:57,0.0,,梁祯,,,2025/07/10,
卡奥斯独立部署新不在岗模块,人力数字化,薪委会数字化,组织系统迭代,组织系统迭代,不在岗迭代,2025,,,,,,,,,,,,,,,人力,,,,,,,,,0.0,,,S02262,,,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2025/07/10,非交付与质量中心,,,,false,,,0.0,,2026/01/04 08:57,0.0,,梁祯,共享关爱,,,2025/07/10,,,,,,,,,,,,,,,,,,2025/07/10,非交付与质量中心,,,,false,,,0.0,,2026/01/04 08:57,0.0,,梁祯,,,2025/07/10,
收款管理新时达租户创建,财资数字化,,,资金能力迭代,收款管理能力迭代,2025,2025/11/01,2025/12/31,P0,1230,王宗武,薛永娟,高强,高强,开发设计,100%,,,,,财资,,,,,,,,,10.0,0%,,,S03548,收款管理,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/11/17,非交付与质量中心,,,开发中,true,,,33.0,,2026/01/04 08:57,33.0,,薛永娟,资金税务数字化子链群,,,2025/11/17,,,,,,,,,,,,,,,,,,2025/11/17,非交付与质量中心,,,开发中,true,,,33.0,,2026/01/04 08:57,33.0,,薛永娟,,,2025/11/17,
以万链为切入，实现浆站资产共享,财资数字化,,,资产管理平台重构,资产履约管理能力建设，合同、发票、支付等能力全流程管理能力,2025,2025/11/01,2025/11/30,P0,1230,陆立垚,黄冰冰,"崔斌,黄伟雄",崔斌,验证,100%,,,,,,,,,,,,,,10.0,0%,,,,,,,,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2025/11/17,非交付与质量中心,,,开发完成,false,,,30.0,,2026/01/04 08:57,30.0,,黄冰冰,会计数字化子链群,,,2025/11/17,,,,,,,,,,,,,,,,暂无,,2025/11/17,非交付与质量中心,,,开发完成,false,,,30.0,,2026/01/04 08:57,30.0,,黄冰冰,,,2025/11/17,
客户应收信用权限中心应收架构同步、和角色获取,财资数字化,,,客户管理应收信用项目,客户管理应收信用项目,2025,2025/11/14,2025/11/30,P0,1130,刘晓红,马素英,"崔斌,孙乐磊","孙乐磊
崔斌",开发,100%,,,,,,,,,,,,,,5.0,0%,,,,,,,,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2025/11/14,非交付与质量中心,,,开发中,true,,,23.0,,2026/01/04 08:57,23.0,,马素英,质量运营数字化子链群,,,2025/11/14,,,,,,,,,,,,,,,,暂无,,2025/11/14,非交付与质量中心,,,开发中,true,,,23.0,,2026/01/04 08:57,23.0,,马素英,,,2025/11/14,
海尔集团支柱二项目（各国立法政策解析、安全港测算、有效税率测算、补足税测算、GIR申报管理、P2申报管理、看板分析等）,财资数字化,数字化赋能领域,财资数字化,全球税务双支柱,支柱二国际税管,2025,2025/04/17,2026/06/30,P0,630,任若男,张炎,"崔斌,孙乐磊",孙乐磊,挂起/取消,100%,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,1200,1000,120.00%,,,,,,30.0,4000%,,,S01425,海尔智税通,青岛微智慧信息有限公司,核心项目新建,自有+供应商承建,通用开发类,1,1,12,0,3,3:1:2,,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,100.0,,2026/01/04 08:57,100.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,100.0,,2026/01/04 08:57,100.0,,赵晨,,,2025/07/08,
流动性管理（资金计划、融资、现金池、理财）,财资数字化,数字化赋能领域,财资数字化," CCR财务体系-海外司库建设",流动性管理（资金计划、融资、现金池、理财）,2025,2025/01/01,2025/12/31,,1230,庄兴雷,,,,挂起/取消,,,,,,财资,1000,600,166.67%,,,,,,0.0,,,,S01537,海尔集团资金管理云平台,,核心项目新建,自有+供应商承建,通用开发类,1.7,3,0,0,,:0:0,,,,,,,,,,,,,,,,,,,2025/07/08,非交付与质量中心,财资数字化战略运营✅财资关键项目统计表,否,挂起/取消,false,,,0.0,,2026/01/29 09:13,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,非交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/29 09:13,0.0,,赵晨,,,2025/07/08,
